,index,bm_name,bm_type,compiler,git_hash,hostname,matrix_args,nt_stores_instruction_set,tag,access_size,exec_mode,explicit_hugepages_size,flush_instruction,memory_region_size,min_io_chunk_size,numa_memory_nodes,numa_task_nodes,number_partitions,number_threads,operation,percentage_pages_first_node,run_time,transparent_huge_pages,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,threads,number_operations,random_distribution,bandwidth_gb
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,128,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,340644593664,31.716496211095674,10.002681188,15.858248105547837,0.6962817821074261,"[{'accessed_bytes': 165020696576, 'bandwidth': 15.367177913112005, 'execution_time': 10.001023016}, {'accessed_bytes': 175623897088, 'bandwidth': 16.35186575737537, 'execution_time': 10.002681188}]",,,34.05532849259096
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,256,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,344000036864,32.02798827359493,10.002969817,16.013994136797464,0.6460634023505241,"[{'accessed_bytes': 176898965504, 'bandwidth': 16.471550083249713, 'execution_time': 10.00209447}, {'accessed_bytes': 167101071360, 'bandwidth': 15.557879594469638, 'execution_time': 10.002969817}]",,,34.38979054794043
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,512,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,323330506752,30.101396949228292,10.00368855,15.050698474614146,0.008016214282104,"[{'accessed_bytes': 161732362240, 'bandwidth': 15.057000031727911, 'execution_time': 10.003652765}, {'accessed_bytes': 161598144512, 'bandwidth': 15.04574367195828, 'execution_time': 10.002828925}]",,,32.32112886521242
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,1024,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,331316461568,30.851369220835156,10.00158203,15.425684610417578,0.24233045073858503,"[{'accessed_bytes': 163812737024, 'bandwidth': 15.254826843643137, 'execution_time': 10.000932922}, {'accessed_bytes': 167503724544, 'bandwidth': 15.597532423577993, 'execution_time': 10.00158203}]",,,33.126405460077
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,2048,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,334403469312,31.136228994068517,10.002415516,15.568114497034259,0.200971079484301,"[{'accessed_bytes': 165691785216, 'bandwidth': 15.427557728779796, 'execution_time': 10.002393296}, {'accessed_bytes': 168711684096, 'bandwidth': 15.711757003580708, 'execution_time': 10.000472892}]",,,33.432271312572816
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,4096,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,335678537728,31.260819124512167,10.000537694,15.630409562256084,0.008947663863992001,"[{'accessed_bytes': 167772160000, 'bandwidth': 15.624200283120608, 'execution_time': 10.000511845}, {'accessed_bytes': 167906377728, 'bandwidth': 15.636852041688782, 'execution_time': 10.000414379}]",,,33.56604894648778
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,8192,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,339436634112,31.600619383735562,10.003759615,15.800309691867781,0.007203679446042,"[{'accessed_bytes': 169785425920, 'bandwidth': 15.806597192247825, 'execution_time': 10.003734395}, {'accessed_bytes': 169651208192, 'bandwidth': 15.796793964840225, 'execution_time': 10.002029548}]",,,33.93090669662198
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,16384,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,343932928000,32.026734627549025,10.001409876,16.013367313774513,0.6661738695067271,"[{'accessed_bytes': 166899744768, 'bandwidth': 15.543064877243275, 'execution_time': 10.00044079}, {'accessed_bytes': 177033183232, 'bandwidth': 16.485175794629136, 'execution_time': 10.001409876}]",,,34.388444455748456
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,32768,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,339235307520,31.58419694272327,10.003024632,15.792098471361635,0.30276315638546303,"[{'accessed_bytes': 167302397952, 'bandwidth': 15.5794967286187, 'execution_time': 10.001125371}, {'accessed_bytes': 171932909568, 'bandwidth': 16.007658272454407, 'execution_time': 10.003024632}]",,,33.91327323485491
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,65536,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,304204480512,28.32137794082345,10.003485727,14.160688970411725,0.18718201234762602,"[{'accessed_bytes': 150659399680, 'bandwidth': 14.030331589927489, 'execution_time': 10.000654589}, {'accessed_bytes': 153545080832, 'bandwidth': 14.295017147276429, 'execution_time': 10.003485727}]",,,30.409848008373135
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,350509596672,32.637574458502534,10.001892157,10.879191486167512,2.080859574533792,"[{'accessed_bytes': 142606336000, 'bandwidth': 13.280335076547539, 'execution_time': 10.000688931}, {'accessed_bytes': 104958263296, 'bandwidth': 9.774063996535437, 'execution_time': 10.00095764}, {'accessed_bytes': 102944997376, 'bandwidth': 9.58568623766856, 'execution_time': 10.001892157}]",,,35.044328730008324
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,128,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,345811976192,32.20277310201122,10.001079689,10.734257700670407,2.59142754676223,"[{'accessed_bytes': 100394860544, 'bandwidth': 9.349022615779656, 'execution_time': 10.00104544}, {'accessed_bytes': 147371065344, 'bandwidth': 13.724530135221007, 'execution_time': 10.000342354}, {'accessed_bytes': 98046050304, 'bandwidth': 9.131014741231395, 'execution_time': 10.000257648}]",,,34.57746432841167
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,256,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,346483064832,32.25352010068169,10.004721934,10.751173366893896,6.797919331391161,"[{'accessed_bytes': 31205621760, 'bandwidth': 2.904889044086933, 'execution_time': 10.004685053}, {'accessed_bytes': 157772939264, 'bandwidth': 14.691216670103355, 'execution_time': 10.001724384}, {'accessed_bytes': 157504503808, 'bandwidth': 14.667203954965354, 'execution_time': 10.001054083}]",,,34.63195350332663
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,512,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,345946193920,32.2077985046641,10.003400262,10.735932834888033,3.821157593434002,"[{'accessed_bytes': 160725729280, 'bandwidth': 14.967076820005339, 'execution_time': 10.001117907}, {'accessed_bytes': 104287174656, 'bandwidth': 9.709510473766512, 'execution_time': 10.003078967}, {'accessed_bytes': 80933289984, 'bandwidth': 7.534937923690572, 'execution_time': 10.003400262}]",,,34.5828603134225
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,1024,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,342724968448,31.902115209881458,10.005214322,10.63403840329382,6.19726817473643,"[{'accessed_bytes': 37513854976, 'bandwidth': 3.491936458609897, 'execution_time': 10.005193512}, {'accessed_bytes': 156497870848, 'bandwidth': 14.569409019884379, 'execution_time': 10.003837479}, {'accessed_bytes': 148713242624, 'bandwidth': 13.845814170843568, 'execution_time': 10.003023173}]",,,34.25463537491626
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,2048,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,346281738240,32.23559844982504,10.004467592,10.745199483275014,4.014240726900357,"[{'accessed_bytes': 165154914304, 'bandwidth': 15.37899675398009, 'execution_time': 10.001465145}, {'accessed_bytes': 92140470272, 'bandwidth': 8.577784337523015, 'execution_time': 10.004040277}, {'accessed_bytes': 88986353664, 'bandwidth': 8.283799136524806, 'execution_time': 10.004467592}]",,,34.61271027724671
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,4096,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,346281738240,32.239431301870056,10.00327819,10.746477100623352,4.200607189716911,"[{'accessed_bytes': 167503724544, 'bandwidth': 15.594908154882566, 'execution_time': 10.003265069}, {'accessed_bytes': 90999619584, 'bandwidth': 8.473119258152682, 'execution_time': 10.002219657}, {'accessed_bytes': 87778394112, 'bandwidth': 8.174559147660078, 'execution_time': 10.000539298}]",,,34.61682577079265
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,8192,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,340845920256,31.734919879136324,10.002782462,10.578306626378774,7.011079382704488,"[{'accessed_bytes': 172939542528, 'bandwidth': 16.105626209770143, 'execution_time': 10.000387312}, {'accessed_bytes': 138982457344, 'bandwidth': 12.940760417763832, 'execution_time': 10.002310206}, {'accessed_bytes': 28923920384, 'bandwidth': 2.693002667253513, 'execution_time': 10.002775091}]",,,34.0751107555177
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,16384,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,344402690048,32.06423521218843,10.003357257,10.688078404062809,6.244277566535419,"[{'accessed_bytes': 37513854976, 'bandwidth': 3.4925801305983253, 'execution_time': 10.003349585}, {'accessed_bytes': 157370286080, 'bandwidth': 14.655240160159428, 'execution_time': 10.000689064}, {'accessed_bytes': 149518548992, 'bandwidth': 13.923574788454085, 'execution_time': 10.001023596}]",,,34.42871040190023
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,32768,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,345744867328,32.18783030924049,10.003780836,10.72927676974683,4.290018425042866,"[{'accessed_bytes': 167570833408, 'bandwidth': 15.603385858095272, 'execution_time': 10.00183559}, {'accessed_bytes': 80799072256, 'bandwidth': 7.522161309331568, 'execution_time': 10.00377377}, {'accessed_bytes': 97374961664, 'bandwidth': 9.066151040026114, 'execution_time': 10.002866663}]",,,34.561419626846366
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,65536,sequential,0,none,7516192768,67108864,[8],[0],1,3,write,-1,10,False,345744867328,32.18621421637448,10.004283133,10.728738072124827,5.552642906134834,"[{'accessed_bytes': 149518548992, 'bandwidth': 13.919048733941883, 'execution_time': 10.004275627}, {'accessed_bytes': 46372225024, 'bandwidth': 4.317798810942722, 'execution_time': 10.002202949}, {'accessed_bytes': 149854093312, 'bandwidth': 13.951386386264806, 'execution_time': 10.003486115}]",,,34.55968436034467
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,348898983936,32.47481039505683,10.005832091,8.118702598764207,5.816968835132742,"[{'accessed_bytes': 72746008576, 'bandwidth': 6.771475870703688, 'execution_time': 10.005204374}, {'accessed_bytes': 23689428992, 'bandwidth': 2.204974306822849, 'execution_time': 10.005785524}, {'accessed_bytes': 79255568384, 'bandwidth': 7.377987104385852, 'execution_time': 10.004422474}, {'accessed_bytes': 173207977984, 'bandwidth': 16.129664942664984, 'execution_time': 10.000982697}]",,,34.86956214764248
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,128,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,347892350976,32.38463481207477,10.004744592,8.096158703018693,5.284493229498081,"[{'accessed_bytes': 46841987072, 'bandwidth': 4.360448275656586, 'execution_time': 10.004705306}, {'accessed_bytes': 167973486592, 'bandwidth': 15.637875308436366, 'execution_time': 10.003756707}, {'accessed_bytes': 48385490944, 'bandwidth': 4.504477316555349, 'execution_time': 10.003935381}, {'accessed_bytes': 84691386368, 'bandwidth': 7.885423935048889, 'execution_time': 10.002632788}]",,,34.77273685269107
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,256,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,345879085056,32.19755384720779,10.004642015,8.049388461801948,6.461439937061844,"[{'accessed_bytes': 112742891520, 'bandwidth': 10.497467631848618, 'execution_time': 10.002412361}, {'accessed_bytes': 30802968576, 'bandwidth': 2.867423921097465, 'execution_time': 10.004624635}, {'accessed_bytes': 172671107072, 'bandwidth': 16.077122621595233, 'execution_time': 10.002567237}, {'accessed_bytes': 29662117888, 'bandwidth': 2.761642787459594, 'execution_time': 10.003103995}]",,,34.571860196239115
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,512,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,343261839360,31.95539907261394,10.004177988,7.988849768153485,7.205567652743178,"[{'accessed_bytes': 18790481920, 'bandwidth': 1.7496195922844242, 'execution_time': 10.002174231}, {'accessed_bytes': 150256746496, 'bandwidth': 13.98941749698637, 'execution_time': 10.003096986}, {'accessed_bytes': 155357020160, 'bandwidth': 14.467380951740536, 'execution_time': 10.0009463}, {'accessed_bytes': 18857590784, 'bandwidth': 1.7555165472931602, 'execution_time': 10.004177988}]",,,34.3118484868764
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,1024,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,345811976192,32.19442474955075,10.003673074,8.048606187387687,5.690999668903089,"[{'accessed_bytes': 23622320128, 'bandwidth': 2.199243952491064, 'execution_time': 10.003437761}, {'accessed_bytes': 78383153152, 'bandwidth': 7.297326646275118, 'execution_time': 10.00366347}, {'accessed_bytes': 170255187968, 'bandwidth': 15.855320965395695, 'execution_time': 10.000585945}, {'accessed_bytes': 73551314944, 'bandwidth': 6.8493661925295015, 'execution_time': 10.000925352}]",,,34.568500353213366
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,2048,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,333531054080,31.048692013268383,10.004447204,7.762173003317096,4.8332304905928885,"[{'accessed_bytes': 82208358400, 'bandwidth': 7.652851416133774, 'execution_time': 10.004440938}, {'accessed_bytes': 46372225024, 'bandwidth': 4.316847450500423, 'execution_time': 10.004407266}, {'accessed_bytes': 47781511168, 'bandwidth': 4.448298547157545, 'execution_time': 10.003824952}, {'accessed_bytes': 157168959488, 'bandwidth': 14.633589716054562, 'execution_time': 10.002672129}]",,,33.33827919514103
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,4096,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,345275105280,32.14512397469306,10.003461186,8.036280993673264,5.232414224285538,"[{'accessed_bytes': 84288733184, 'bandwidth': 7.847933420173127, 'execution_time': 10.002633279}, {'accessed_bytes': 46573551616, 'bandwidth': 4.336160115683853, 'execution_time': 10.003090025}, {'accessed_bytes': 47982837760, 'bandwidth': 4.467210326374981, 'execution_time': 10.003446611}, {'accessed_bytes': 166429982720, 'bandwidth': 15.497503487016521, 'execution_time': 10.001610913}]",,,34.515564049293054
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,8192,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,343932928000,32.01527140854995,10.004990928,8.003817852137487,6.188632685776318,"[{'accessed_bytes': 96770981888, 'bandwidth': 9.008004169976395, 'execution_time': 10.004990928}, {'accessed_bytes': 26709327872, 'bandwidth': 2.486316413437284, 'execution_time': 10.004760402}, {'accessed_bytes': 45231374336, 'bandwidth': 4.210874407515214, 'execution_time': 10.003860463}, {'accessed_bytes': 175221243904, 'bandwidth': 16.31404596556977, 'execution_time': 10.002883426}]",,,34.376135918071476
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,16384,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,344738234368,32.09714905238852,10.002835438,8.02428726309713,5.298155084320356,"[{'accessed_bytes': 81470160896, 'bandwidth': 7.5853909427315, 'execution_time': 10.00278042}, {'accessed_bytes': 46841987072, 'bandwidth': 4.362286741324306, 'execution_time': 10.000488869}, {'accessed_bytes': 48318382080, 'bandwidth': 4.498761758114439, 'execution_time': 10.002752406}, {'accessed_bytes': 168107704320, 'bandwidth': 15.651812025741336, 'execution_time': 10.002835438}]",,,34.464051368711516
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,32768,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,345476431872,32.16039401615738,10.004541606,8.040098504039346,5.338083372979433,"[{'accessed_bytes': 88650809344, 'bandwidth': 8.254853307712322, 'execution_time': 10.001691965}, {'accessed_bytes': 44426067968, 'bandwidth': 4.135866671805704, 'execution_time': 10.00394918}, {'accessed_bytes': 45768245248, 'bandwidth': 4.260567581654289, 'execution_time': 10.004535589}, {'accessed_bytes': 166631309312, 'bandwidth': 15.51749126300597, 'execution_time': 10.000811173}]",,,34.531960131467514
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,65536,sequential,0,none,7516192768,67108864,[8],[0],1,4,write,-1,10,False,341248573440,31.765763983580538,10.004875065,7.941440995895134,4.454841123371078,"[{'accessed_bytes': 99455336448, 'bandwidth': 9.25971659493555, 'execution_time': 10.003005929}, {'accessed_bytes': 46707769344, 'bandwidth': 4.348458062861657, 'execution_time': 10.00354594}, {'accessed_bytes': 48184164352, 'bandwidth': 4.4853164187902195, 'execution_time': 10.004868288}, {'accessed_bytes': 146901303296, 'bandwidth': 13.681184395984586, 'execution_time': 10.000047952}]",,,34.10822936048327
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,0,none,7516192768,67108864,[8],[0],1,5,write,-1,10,False,347422588928,32.33597122966986,10.006271273,6.467194245933972,5.205522862377953,"[{'accessed_bytes': 36708548608, 'bandwidth': 3.41685436644121, 'execution_time': 10.005547891}, {'accessed_bytes': 16106127360, 'bandwidth': 1.499304897660844, 'execution_time': 10.004636164}, {'accessed_bytes': 127171297280, 'bandwidth': 11.839228237639583, 'execution_time': 10.003819305}, {'accessed_bytes': 34493956096, 'bandwidth': 3.210494681680144, 'execution_time': 10.006246135}, {'accessed_bytes': 132942659584, 'bandwidth': 12.378246086850032, 'execution_time': 10.002426768}]",,,34.72048472895724
