,capacity_demand,type,price_factor,cpu_id,cpus,cpu_dimms,ddr,cpu_dimm_size,cpu_dimm_price,devs,dev_dimms,dev_ddr,dev_dimm_size,dev_dimm_price,cpu_capacity,cxl_capacity,capacity,price
17,1536,"CPU Memory +
1 to 4 CXL Devices",0.5973154362416108,8452Y,1,16,5,32,137,1,8,4,128,650,512,1024,1536,11392
18,1792,CPU Memory,1.0,8452Y,2,16,5,64,346,0,0,0,0,0,2048,0,2048,19072
19,1792,"CPU Memory +
1 CXL Device",0.7726510067114094,8452Y,1,16,5,64,346,1,8,4,128,650,1024,1024,2048,14736
20,1792,"CPU Memory +
1 to 4 CXL Devices",0.7726510067114094,8452Y,1,16,5,64,346,1,8,4,128,650,1024,1024,2048,14736
21,2048,CPU Memory,1.0,8452Y,2,16,5,64,346,0,0,0,0,0,2048,0,2048,19072
22,2048,"CPU Memory +
1 CXL Device",0.7726510067114094,8452Y,1,16,5,64,346,1,8,4,128,650,1024,1024,2048,14736
23,2048,"CPU Memory +
1 to 4 CXL Devices",0.7726510067114094,8452Y,1,16,5,64,346,1,8,4,128,650,1024,1024,2048,14736
24,2304,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
25,2304,"CPU Memory +
1 CXL Device",0.6331385642737897,8452Y,2,16,5,64,346,1,8,4,128,650,2048,1024,3072,24272
26,2304,"CPU Memory +
1 to 4 CXL Devices",0.41110183639399,8452Y,1,16,5,16,85,2,8,4,128,650,256,2048,2304,15760
27,2560,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
28,2560,"CPU Memory +
1 CXL Device",0.6331385642737897,8452Y,2,16,5,64,346,1,8,4,128,650,2048,1024,3072,24272
29,2560,"CPU Memory +
1 to 4 CXL Devices",0.43280467445742904,8452Y,1,16,5,32,137,2,8,4,128,650,512,2048,2560,16592
30,2816,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
31,2816,"CPU Memory +
1 CXL Device",0.6331385642737897,8452Y,2,16,5,64,346,1,8,4,128,650,2048,1024,3072,24272
32,2816,"CPU Memory +
1 to 4 CXL Devices",0.5200333889816361,8452Y,1,16,5,64,346,2,8,4,128,650,1024,2048,3072,19936
33,3072,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
34,3072,"CPU Memory +
1 CXL Device",0.6331385642737897,8452Y,2,16,5,64,346,1,8,4,128,650,2048,1024,3072,24272
35,3072,"CPU Memory +
1 to 4 CXL Devices",0.5200333889816361,8452Y,1,16,5,64,346,2,8,4,128,650,1024,2048,3072,19936
36,3328,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
37,3328,"CPU Memory +
1 CXL Device",1.1356427378964942,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
38,3328,"CPU Memory +
1 to 4 CXL Devices",0.5467445742904842,8452Y,1,16,5,16,85,3,8,4,128,650,256,3072,3328,20960
39,3584,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
40,3584,"CPU Memory +
1 CXL Device",1.1356427378964942,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
41,3584,"CPU Memory +
1 to 4 CXL Devices",0.5684474123539232,8452Y,1,16,5,32,137,3,8,4,128,650,512,3072,3584,21792
42,3840,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
43,3840,"CPU Memory +
1 CXL Device",1.1356427378964942,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
44,3840,"CPU Memory +
1 to 4 CXL Devices",0.6556761268781303,8452Y,1,16,5,64,346,3,8,4,128,650,1024,3072,4096,25136
45,4096,CPU Memory,1.0,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4096,38336
46,4096,"CPU Memory +
1 CXL Device",1.1356427378964942,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
47,4096,"CPU Memory +
1 to 4 CXL Devices",0.6556761268781303,8452Y,1,16,5,64,346,3,8,4,128,650,1024,3072,4096,25136
48,4352,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
49,4352,"CPU Memory +
1 CXL Device",0.3943478260869565,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
50,4352,"CPU Memory +
1 to 4 CXL Devices",0.23695652173913043,8452Y,1,16,5,16,85,4,8,4,128,650,256,4096,4352,26160
51,4608,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
52,4608,"CPU Memory +
1 CXL Device",0.3943478260869565,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
53,4608,"CPU Memory +
1 to 4 CXL Devices",0.2444927536231884,8452Y,1,16,5,32,137,4,8,4,128,650,512,4096,4608,26992
54,4864,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
55,4864,"CPU Memory +
1 CXL Device",0.3943478260869565,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
56,4864,"CPU Memory +
1 to 4 CXL Devices",0.2747826086956522,8452Y,1,16,5,64,346,4,8,4,128,650,1024,4096,5120,30336
57,5120,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
58,5120,"CPU Memory +
1 CXL Device",0.3943478260869565,8452Y,2,16,5,128,948,1,8,4,128,650,4096,1024,5120,43536
59,5120,"CPU Memory +
1 to 4 CXL Devices",0.2747826086956522,8452Y,1,16,5,64,346,4,8,4,128,650,1024,4096,5120,30336
60,5376,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
61,5376,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
62,5376,"CPU Memory +
1 to 4 CXL Devices",0.3611594202898551,8452Y,2,16,5,64,346,4,8,4,128,650,2048,4096,6144,39872
63,5632,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
64,5632,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
65,5632,"CPU Memory +
1 to 4 CXL Devices",0.3611594202898551,8452Y,2,16,5,64,346,4,8,4,128,650,2048,4096,6144,39872
66,5888,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
67,5888,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
68,5888,"CPU Memory +
1 to 4 CXL Devices",0.3611594202898551,8452Y,2,16,5,64,346,4,8,4,128,650,2048,4096,6144,39872
69,6144,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
70,6144,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
71,6144,"CPU Memory +
1 to 4 CXL Devices",0.3611594202898551,8452Y,2,16,5,64,346,4,8,4,128,650,2048,4096,6144,39872
72,6400,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
73,6400,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
74,6400,"CPU Memory +
1 to 4 CXL Devices",0.4885507246376812,8452Y,2,16,5,128,948,3,8,4,128,650,4096,3072,7168,53936
75,6656,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
76,6656,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
77,6656,"CPU Memory +
1 to 4 CXL Devices",0.4885507246376812,8452Y,2,16,5,128,948,3,8,4,128,650,4096,3072,7168,53936
78,6912,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
79,6912,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
80,6912,"CPU Memory +
1 to 4 CXL Devices",0.4885507246376812,8452Y,2,16,5,128,948,3,8,4,128,650,4096,3072,7168,53936
81,7168,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
82,7168,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
83,7168,"CPU Memory +
1 to 4 CXL Devices",0.4885507246376812,8452Y,2,16,5,128,948,3,8,4,128,650,4096,3072,7168,53936
84,7424,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
85,7424,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
86,7424,"CPU Memory +
1 to 4 CXL Devices",0.5356521739130434,8452Y,2,16,5,128,948,4,8,4,128,650,4096,4096,8192,59136
87,7680,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
88,7680,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
89,7680,"CPU Memory +
1 to 4 CXL Devices",0.5356521739130434,8452Y,2,16,5,128,948,4,8,4,128,650,4096,4096,8192,59136
90,7936,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
91,7936,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
92,7936,"CPU Memory +
1 to 4 CXL Devices",0.5356521739130434,8452Y,2,16,5,128,948,4,8,4,128,650,4096,4096,8192,59136
93,8192,CPU Memory,1.0,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8192,110400
94,8192,"CPU Memory +
1 CXL Device",1.0471014492753623,8452Y,2,16,5,256,3200,1,8,4,128,650,8192,1024,9216,115600
95,8192,"CPU Memory +
1 to 4 CXL Devices",0.5356521739130434,8452Y,2,16,5,128,948,4,8,4,128,650,4096,4096,8192,59136
