,Name,Product Collection,Vertical Segment,Processor Number,Lithography,Recommended Customer Price,Total Cores,Total Threads,Max Turbo Frequency,Processor Base Frequency,Cache,Intel® UPI Speed,Max # of UPI Links,TDP,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Marketing Status,Launch Date,Servicing Status,Use Conditions,Embedded Options Available,Extended Temperature Options,Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,ECC Memory Supported   ‡,Maximum Memory Speed,Intel® Optane™ DC Persistent Memory Supported,Scalability,PCI Express Revision,Max # of PCI Express Lanes,Sockets Supported,Package Carrier,DTS Max,TCASE,Package Size,Intel® On Demand Available Upgrades,Intel® Virtual RAID on CPU (Intel® VROC) Activation Options,Intel® On Demand Activation Model,Intel® Data Streaming Accelerator (DSA),Intel® Advanced Matrix Extensions (AMX),Intel® Speed Select Technology – Core Power,Intel® Speed Select Technology – Turbo Frequency,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Intel® Speed Select Technology - Base Frequency,High Priority Cores,High Priority Core Frequency,Low Priority Cores,Low Priority Core Frequency,Intel® Resource Director Technology (Intel® RDT),Intel® Speed Shift Technology,Intel® Turbo Boost Technology ‡,Intel® Hyper-Threading Technology ‡,Intel® Transactional Synchronization Extensions,Intel® 64 ‡,Instruction Set Extensions,# of AVX-512 FMA Units,Intel® QuickAssist Technology (QAT),Intel® Dynamic Load Balancer (DLB),Intel® Speed Select Technology - Performance Profile,Intel® In-memory Analytics Accelerator (IAA),Intel® vRAN Boost,Intel® Volume Management Device (VMD),Intel® Virtual RAID on CPU (Intel® VROC) Available,Intel® Software Guard Extensions (Intel® SGX),Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,Intel® Crypto Acceleration,Intel® QuickAssist Software Acceleration,Intel® Platform Firmware Resilience Support,Intel® Control-Flow Enforcement Technology,Intel® Total Memory Encryption,Intel® AES New Instructions,Intel® OS Guard,Intel® Trusted Execution Technology ‡,Execute Disable Bit ‡,Intel® Boot Guard,Intel® Run Sure Technology,Mode-based Execute Control (MBEC),Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Intel® VT-x with Extended Page Tables (EPT) ‡,Intel® Trust Domain Extensions (Intel® TDX),Intel® Total Memory Encryption - Multi Key,Intel® Speed Select Technology
10,Intel® Xeon® Platinum 8458P Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8458P,Intel 7,$6759.00,44,88,3.80 GHz,2.70 GHz,82.5 MB,16 GT/s,3,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,101 °C,78°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,,0,0 MHz,0,0 MHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
11,Intel® Xeon® Platinum 8460H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8460H,Intel 7,$10710.00,40,80,3.80 GHz,2.20 GHz,105 MB,16 GT/s,4,330 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,97 °C,76°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,Yes,12,2.40 GHz,28,2.00 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
12,Intel® Xeon® Platinum 8471N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8471N,Intel 7,$5171.00,52,104,3.60 GHz,1.80 GHz,97.5 MB,0 GT/s,0,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,1S Only,5.0,80,FCLGA4677,E1A,92 °C,76°C,77.5mm x 56.5mm,See the specifications,,Yes,4 default devices,,Yes,Yes,Yes,Yes,16,1.90 GHz,36,1.30 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,4 default devices,4 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
13,Intel® Xeon® Platinum 8480+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8480+,Intel 7,$10710.00,56,112,3.80 GHz,2.00 GHz,105 MB,16 GT/s,4,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,97 °C,79°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,16,2.10 GHz,40,1.70 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
14,Intel® Xeon® Platinum 8490H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8490H,Intel 7,$17000.00,60,120,3.50 GHz,1.90 GHz,112.5 MB,16 GT/s,4,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,96 °C,79°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,Yes,16,2.00 GHz,44,1.60 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,4 default devices,4 default devices,,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
15,Intel® Xeon® Platinum 8470N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8470N,Intel 7,$9520.00,52,104,3.60 GHz,1.70 GHz,97.5 MB,16 GT/s,3,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,92 °C,76°C,77.5mm x 56.5mm,See the specifications,,Yes,4 default devices,Yes,Yes,Yes,Yes,Yes,16,1.80 GHz,36,1.30 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,4 default devices,4 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
16,Intel® Xeon® Platinum 8444H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8444H,Intel 7,$4234.00,16,32,4.00 GHz,2.90 GHz,45 MB,16 GT/s,4,270 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,97 °C,72°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,,0,0 MHz,0,0 MHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
17,Intel® Xeon® Platinum 8468H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8468H,Intel 7,$13923.00,48,96,3.80 GHz,2.10 GHz,105 MB,16 GT/s,4,330 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,96 °C,77°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,Yes,16,2.20 GHz,32,1.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,4 default devices,4 default devices,,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
18,Intel® Xeon® Platinum 8450H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8450H,Intel 7,$4708.00,28,56,3.50 GHz,2.00 GHz,75 MB,16 GT/s,4,250 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,93 °C,76°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,Yes,8,2.10 GHz,20,1.70 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
19,Intel® Xeon® Platinum 8452Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8452Y,Intel 7,$3995.00,36,72,3.20 GHz,2.00 GHz,67.5 MB,16 GT/s,4,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,95 °C,75°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.20 GHz,24,1.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
20,Intel® Xeon® Bronze 3408U Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,3408U,Intel 7,$415.00-$425.00,8,8,1.90 GHz,1.80 GHz,22.5 MB,,,125 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4000 MT/s 1DPC and 2DPC,8,Yes,,,1S Only,4.0,80,FCLGA4677,E1B,91 °C,79,77.5mm x 56.5mm,,,,1 default devices,,,,Yes,,,,,,Yes,Yes,2.0,,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,1,,,,,,,,Yes with Intel® SPS,64 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,
21,Intel® Xeon® Gold 5415+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5415+,Intel 7,$1066.00-$1076.00,8,16,4.10 GHz,2.90 GHz,22.5 MB,16 GT/s,3,150 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,99 °C,78,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,2,3.10 GHz,6,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
22,Intel® Xeon® Gold 5412U Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5412U,Intel 7,$1113.00,24,48,3.90 GHz,2.10 GHz,45 MB,,,185 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,1S Only,5,80,FCLGA4677,E1B,94 °C,81,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,2.30 GHz,16,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
23,Intel® Xeon® Gold 6434 Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6434,Intel 7,$2607.00,8,16,4.10 GHz,3.70 GHz,22.5 MB,16 GT/s,3,195 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,96 °C,64,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,2,3.90 GHz,6,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
24,Intel® Xeon® Silver 4410Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,4410Y,Intel 7,$563.00-$573.00,12,24,3.90 GHz,2.00 GHz,30 MB,16 GT/s,2,150 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4000 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,93 °C,78,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,,,Yes,,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,64 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,See the specifications
